store_name,geometry,index_right,id,name,lat,lng,final_num_units,default_units,distance
1,"POLYGON ((77.59281280856402 12.8869084692348, 77.5927860795837 12.88730381986744, 77.59279897741143 12.887699837210452, 77.59285137809378 12.888092707791847, 77.59294277731502 12.888478648405515, 77.59307229524107 12.888853942532151, 77.59323868497792 12.889214976119604, 77.593440344563 12.889558272379432, 77.59367533237544 12.889880525263665, 77.59394138581668 12.8901786313011, 77.59423594308278 12.890449719485078, 77.59455616781929 12.890691178926199, 77.59489897642173 12.890900684002691, 77.59526106771952 12.891076216766747, 77.59563895475793 12.891216086389552, 77.59602899837242 12.891318945458837, 77.596427442232 12.891383802970056, 77.59683044901486 12.891410033886128, 77.59723413736714 12.891397385173558, 77.59763461928955 12.891345978254812, 77.59802803759071 12.891256307854231, 77.5984106030468 12.891129237247306, 77.59877863090905 12.890965989957808, 77.59912857640633 12.89076813798431, 77.59945706890113 12.890537586666584, 77.59976094436868 12.890276556339844, 77.60003727588604 12.889987560951303, 77.60028340183669 12.889673383846619, 77.6004969515585 12.889337050958332, 77.60067586818738 12.888981801655486, 77.600818428476 12.888611057535236, 77.60092325939677 12.888228389457455, 77.6009893513683 12.88783748314044, 77.60101606797852 12.887442103649287, 77.60100315210997 12.887046059120182, 77.60095072840934 12.886653164069847, 77.600859302077 12.886267202644687, 77.60072975398883 12.885891892163906, 77.600563332198 12.88553084730794, 77.60036163989888 12.885187545298459, 77.6001266199695 12.88486529240426, 77.59986053624272 12.884567192096963, 77.59956595168626 12.884296115163105, 77.59924570370336 12.884054672059609, 77.59890287679185 12.883845187780487, 77.59854077282591 12.883669679474322, 77.5981628792471 12.883529837029993, 77.5977728354713 12.883427006815326, 77.59737439783571 12.883362178726026, 77.59697140342296 12.883335976668445, 77.59656773311147 12.883348652567106, 77.59616727420735 12.883400083954822, 77.59577388301734 12.8834897751668, 77.59539134772334 12.88361686212796, 77.59502335191507 12.883780120685925, 77.59467343913182 12.88397797840912, 77.59434497875395 12.884208529736794, 77.59404113357196 12.884469554333391, 77.59376482934496 12.884758538471816, 77.59351872664071 12.885072699238872, 77.59330519522796 12.885409011329763, 77.59312629126723 12.885764236174744, 77.59298373751902 12.886134953116496, 77.59287890675958 12.886517592339658, 77.59281280856402 12.8869084692348))",1691,232279,Chartered Coronet,12.887516,77.595268,0.0,40.0,0.18
1,"POLYGON ((77.59281280856402 12.8869084692348, 77.5927860795837 12.88730381986744, 77.59279897741143 12.887699837210452, 77.59285137809378 12.888092707791847, 77.59294277731502 12.888478648405515, 77.59307229524107 12.888853942532151, 77.59323868497792 12.889214976119604, 77.593440344563 12.889558272379432, 77.59367533237544 12.889880525263665, 77.59394138581668 12.8901786313011, 77.59423594308278 12.890449719485078, 77.59455616781929 12.890691178926199, 77.59489897642173 12.890900684002691, 77.59526106771952 12.891076216766747, 77.59563895475793 12.891216086389552, 77.59602899837242 12.891318945458837, 77.596427442232 12.891383802970056, 77.59683044901486 12.891410033886128, 77.59723413736714 12.891397385173558, 77.59763461928955 12.891345978254812, 77.59802803759071 12.891256307854231, 77.5984106030468 12.891129237247306, 77.59877863090905 12.890965989957808, 77.59912857640633 12.89076813798431, 77.59945706890113 12.890537586666584, 77.59976094436868 12.890276556339844, 77.60003727588604 12.889987560951303, 77.60028340183669 12.889673383846619, 77.6004969515585 12.889337050958332, 77.60067586818738 12.888981801655486, 77.600818428476 12.888611057535236, 77.60092325939677 12.888228389457455, 77.6009893513683 12.88783748314044, 77.60101606797852 12.887442103649287, 77.60100315210997 12.887046059120182, 77.60095072840934 12.886653164069847, 77.600859302077 12.886267202644687, 77.60072975398883 12.885891892163906, 77.600563332198 12.88553084730794, 77.60036163989888 12.885187545298459, 77.6001266199695 12.88486529240426, 77.59986053624272 12.884567192096963, 77.59956595168626 12.884296115163105, 77.59924570370336 12.884054672059609, 77.59890287679185 12.883845187780487, 77.59854077282591 12.883669679474322, 77.5981628792471 12.883529837029993, 77.5977728354713 12.883427006815326, 77.59737439783571 12.883362178726026, 77.59697140342296 12.883335976668445, 77.59656773311147 12.883348652567106, 77.59616727420735 12.883400083954822, 77.59577388301734 12.8834897751668, 77.59539134772334 12.88361686212796, 77.59502335191507 12.883780120685925, 77.59467343913182 12.88397797840912, 77.59434497875395 12.884208529736794, 77.59404113357196 12.884469554333391, 77.59376482934496 12.884758538471816, 77.59351872664071 12.885072699238872, 77.59330519522796 12.885409011329763, 77.59312629126723 12.885764236174744, 77.59298373751902 12.886134953116496, 77.59287890675958 12.886517592339658, 77.59281280856402 12.8869084692348))",1427,171353,RR Roshan Platinum,12.887523,77.596045,0.0,40.0,0.09
1,"POLYGON ((77.59281280856402 12.8869084692348, 77.5927860795837 12.88730381986744, 77.59279897741143 12.887699837210452, 77.59285137809378 12.888092707791847, 77.59294277731502 12.888478648405515, 77.59307229524107 12.888853942532151, 77.59323868497792 12.889214976119604, 77.593440344563 12.889558272379432, 77.59367533237544 12.889880525263665, 77.59394138581668 12.8901786313011, 77.59423594308278 12.890449719485078, 77.59455616781929 12.890691178926199, 77.59489897642173 12.890900684002691, 77.59526106771952 12.891076216766747, 77.59563895475793 12.891216086389552, 77.59602899837242 12.891318945458837, 77.596427442232 12.891383802970056, 77.59683044901486 12.891410033886128, 77.59723413736714 12.891397385173558, 77.59763461928955 12.891345978254812, 77.59802803759071 12.891256307854231, 77.5984106030468 12.891129237247306, 77.59877863090905 12.890965989957808, 77.59912857640633 12.89076813798431, 77.59945706890113 12.890537586666584, 77.59976094436868 12.890276556339844, 77.60003727588604 12.889987560951303, 77.60028340183669 12.889673383846619, 77.6004969515585 12.889337050958332, 77.60067586818738 12.888981801655486, 77.600818428476 12.888611057535236, 77.60092325939677 12.888228389457455, 77.6009893513683 12.88783748314044, 77.60101606797852 12.887442103649287, 77.60100315210997 12.887046059120182, 77.60095072840934 12.886653164069847, 77.600859302077 12.886267202644687, 77.60072975398883 12.885891892163906, 77.600563332198 12.88553084730794, 77.60036163989888 12.885187545298459, 77.6001266199695 12.88486529240426, 77.59986053624272 12.884567192096963, 77.59956595168626 12.884296115163105, 77.59924570370336 12.884054672059609, 77.59890287679185 12.883845187780487, 77.59854077282591 12.883669679474322, 77.5981628792471 12.883529837029993, 77.5977728354713 12.883427006815326, 77.59737439783571 12.883362178726026, 77.59697140342296 12.883335976668445, 77.59656773311147 12.883348652567106, 77.59616727420735 12.883400083954822, 77.59577388301734 12.8834897751668, 77.59539134772334 12.88361686212796, 77.59502335191507 12.883780120685925, 77.59467343913182 12.88397797840912, 77.59434497875395 12.884208529736794, 77.59404113357196 12.884469554333391, 77.59376482934496 12.884758538471816, 77.59351872664071 12.885072699238872, 77.59330519522796 12.885409011329763, 77.59312629126723 12.885764236174744, 77.59298373751902 12.886134953116496, 77.59287890675958 12.886517592339658, 77.59281280856402 12.8869084692348))",2560,63286,Asdaq Residency,12.887538,77.597009,0.0,40.0,0.02
1,"POLYGON ((77.59281280856402 12.8869084692348, 77.5927860795837 12.88730381986744, 77.59279897741143 12.887699837210452, 77.59285137809378 12.888092707791847, 77.59294277731502 12.888478648405515, 77.59307229524107 12.888853942532151, 77.59323868497792 12.889214976119604, 77.593440344563 12.889558272379432, 77.59367533237544 12.889880525263665, 77.59394138581668 12.8901786313011, 77.59423594308278 12.890449719485078, 77.59455616781929 12.890691178926199, 77.59489897642173 12.890900684002691, 77.59526106771952 12.891076216766747, 77.59563895475793 12.891216086389552, 77.59602899837242 12.891318945458837, 77.596427442232 12.891383802970056, 77.59683044901486 12.891410033886128, 77.59723413736714 12.891397385173558, 77.59763461928955 12.891345978254812, 77.59802803759071 12.891256307854231, 77.5984106030468 12.891129237247306, 77.59877863090905 12.890965989957808, 77.59912857640633 12.89076813798431, 77.59945706890113 12.890537586666584, 77.59976094436868 12.890276556339844, 77.60003727588604 12.889987560951303, 77.60028340183669 12.889673383846619, 77.6004969515585 12.889337050958332, 77.60067586818738 12.888981801655486, 77.600818428476 12.888611057535236, 77.60092325939677 12.888228389457455, 77.6009893513683 12.88783748314044, 77.60101606797852 12.887442103649287, 77.60100315210997 12.887046059120182, 77.60095072840934 12.886653164069847, 77.600859302077 12.886267202644687, 77.60072975398883 12.885891892163906, 77.600563332198 12.88553084730794, 77.60036163989888 12.885187545298459, 77.6001266199695 12.88486529240426, 77.59986053624272 12.884567192096963, 77.59956595168626 12.884296115163105, 77.59924570370336 12.884054672059609, 77.59890287679185 12.883845187780487, 77.59854077282591 12.883669679474322, 77.5981628792471 12.883529837029993, 77.5977728354713 12.883427006815326, 77.59737439783571 12.883362178726026, 77.59697140342296 12.883335976668445, 77.59656773311147 12.883348652567106, 77.59616727420735 12.883400083954822, 77.59577388301734 12.8834897751668, 77.59539134772334 12.88361686212796, 77.59502335191507 12.883780120685925, 77.59467343913182 12.88397797840912, 77.59434497875395 12.884208529736794, 77.59404113357196 12.884469554333391, 77.59376482934496 12.884758538471816, 77.59351872664071 12.885072699238872, 77.59330519522796 12.885409011329763, 77.59312629126723 12.885764236174744, 77.59298373751902 12.886134953116496, 77.59287890675958 12.886517592339658, 77.59281280856402 12.8869084692348))",2500,213997,VSM Gangotri Serinity,12.887638,77.596385,0.0,40.0,0.06
1,"POLYGON ((77.59281280856402 12.8869084692348, 77.5927860795837 12.88730381986744, 77.59279897741143 12.887699837210452, 77.59285137809378 12.888092707791847, 77.59294277731502 12.888478648405515, 77.59307229524107 12.888853942532151, 77.59323868497792 12.889214976119604, 77.593440344563 12.889558272379432, 77.59367533237544 12.889880525263665, 77.59394138581668 12.8901786313011, 77.59423594308278 12.890449719485078, 77.59455616781929 12.890691178926199, 77.59489897642173 12.890900684002691, 77.59526106771952 12.891076216766747, 77.59563895475793 12.891216086389552, 77.59602899837242 12.891318945458837, 77.596427442232 12.891383802970056, 77.59683044901486 12.891410033886128, 77.59723413736714 12.891397385173558, 77.59763461928955 12.891345978254812, 77.59802803759071 12.891256307854231, 77.5984106030468 12.891129237247306, 77.59877863090905 12.890965989957808, 77.59912857640633 12.89076813798431, 77.59945706890113 12.890537586666584, 77.59976094436868 12.890276556339844, 77.60003727588604 12.889987560951303, 77.60028340183669 12.889673383846619, 77.6004969515585 12.889337050958332, 77.60067586818738 12.888981801655486, 77.600818428476 12.888611057535236, 77.60092325939677 12.888228389457455, 77.6009893513683 12.88783748314044, 77.60101606797852 12.887442103649287, 77.60100315210997 12.887046059120182, 77.60095072840934 12.886653164069847, 77.600859302077 12.886267202644687, 77.60072975398883 12.885891892163906, 77.600563332198 12.88553084730794, 77.60036163989888 12.885187545298459, 77.6001266199695 12.88486529240426, 77.59986053624272 12.884567192096963, 77.59956595168626 12.884296115163105, 77.59924570370336 12.884054672059609, 77.59890287679185 12.883845187780487, 77.59854077282591 12.883669679474322, 77.5981628792471 12.883529837029993, 77.5977728354713 12.883427006815326, 77.59737439783571 12.883362178726026, 77.59697140342296 12.883335976668445, 77.59656773311147 12.883348652567106, 77.59616727420735 12.883400083954822, 77.59577388301734 12.8834897751668, 77.59539134772334 12.88361686212796, 77.59502335191507 12.883780120685925, 77.59467343913182 12.88397797840912, 77.59434497875395 12.884208529736794, 77.59404113357196 12.884469554333391, 77.59376482934496 12.884758538471816, 77.59351872664071 12.885072699238872, 77.59330519522796 12.885409011329763, 77.59312629126723 12.885764236174744, 77.59298373751902 12.886134953116496, 77.59287890675958 12.886517592339658, 77.59281280856402 12.8869084692348))",2023,167079,Chartered Coronet,12.887696,77.595163,0.0,40.0,0.19
1,"POLYGON ((77.59281280856402 12.8869084692348, 77.5927860795837 12.88730381986744, 77.59279897741143 12.887699837210452, 77.59285137809378 12.888092707791847, 77.59294277731502 12.888478648405515, 77.59307229524107 12.888853942532151, 77.59323868497792 12.889214976119604, 77.593440344563 12.889558272379432, 77.59367533237544 12.889880525263665, 77.59394138581668 12.8901786313011, 77.59423594308278 12.890449719485078, 77.59455616781929 12.890691178926199, 77.59489897642173 12.890900684002691, 77.59526106771952 12.891076216766747, 77.59563895475793 12.891216086389552, 77.59602899837242 12.891318945458837, 77.596427442232 12.891383802970056, 77.59683044901486 12.891410033886128, 77.59723413736714 12.891397385173558, 77.59763461928955 12.891345978254812, 77.59802803759071 12.891256307854231, 77.5984106030468 12.891129237247306, 77.59877863090905 12.890965989957808, 77.59912857640633 12.89076813798431, 77.59945706890113 12.890537586666584, 77.59976094436868 12.890276556339844, 77.60003727588604 12.889987560951303, 77.60028340183669 12.889673383846619, 77.6004969515585 12.889337050958332, 77.60067586818738 12.888981801655486, 77.600818428476 12.888611057535236, 77.60092325939677 12.888228389457455, 77.6009893513683 12.88783748314044, 77.60101606797852 12.887442103649287, 77.60100315210997 12.887046059120182, 77.60095072840934 12.886653164069847, 77.600859302077 12.886267202644687, 77.60072975398883 12.885891892163906, 77.600563332198 12.88553084730794, 77.60036163989888 12.885187545298459, 77.6001266199695 12.88486529240426, 77.59986053624272 12.884567192096963, 77.59956595168626 12.884296115163105, 77.59924570370336 12.884054672059609, 77.59890287679185 12.883845187780487, 77.59854077282591 12.883669679474322, 77.5981628792471 12.883529837029993, 77.5977728354713 12.883427006815326, 77.59737439783571 12.883362178726026, 77.59697140342296 12.883335976668445, 77.59656773311147 12.883348652567106, 77.59616727420735 12.883400083954822, 77.59577388301734 12.8834897751668, 77.59539134772334 12.88361686212796, 77.59502335191507 12.883780120685925, 77.59467343913182 12.88397797840912, 77.59434497875395 12.884208529736794, 77.59404113357196 12.884469554333391, 77.59376482934496 12.884758538471816, 77.59351872664071 12.885072699238872, 77.59330519522796 12.885409011329763, 77.59312629126723 12.885764236174744, 77.59298373751902 12.886134953116496, 77.59287890675958 12.886517592339658, 77.59281280856402 12.8869084692348))",2346,8xp1v4,Sri Sai Apartment,12.888407637599064,77.5947205936964,0.0,40.0,0.26
1,"POLYGON ((77.59281280856402 12.8869084692348, 77.5927860795837 12.88730381986744, 77.59279897741143 12.887699837210452, 77.59285137809378 12.888092707791847, 77.59294277731502 12.888478648405515, 77.59307229524107 12.888853942532151, 77.59323868497792 12.889214976119604, 77.593440344563 12.889558272379432, 77.59367533237544 12.889880525263665, 77.59394138581668 12.8901786313011, 77.59423594308278 12.890449719485078, 77.59455616781929 12.890691178926199, 77.59489897642173 12.890900684002691, 77.59526106771952 12.891076216766747, 77.59563895475793 12.891216086389552, 77.59602899837242 12.891318945458837, 77.596427442232 12.891383802970056, 77.59683044901486 12.891410033886128, 77.59723413736714 12.891397385173558, 77.59763461928955 12.891345978254812, 77.59802803759071 12.891256307854231, 77.5984106030468 12.891129237247306, 77.59877863090905 12.890965989957808, 77.59912857640633 12.89076813798431, 77.59945706890113 12.890537586666584, 77.59976094436868 12.890276556339844, 77.60003727588604 12.889987560951303, 77.60028340183669 12.889673383846619, 77.6004969515585 12.889337050958332, 77.60067586818738 12.888981801655486, 77.600818428476 12.888611057535236, 77.60092325939677 12.888228389457455, 77.6009893513683 12.88783748314044, 77.60101606797852 12.887442103649287, 77.60100315210997 12.887046059120182, 77.60095072840934 12.886653164069847, 77.600859302077 12.886267202644687, 77.60072975398883 12.885891892163906, 77.600563332198 12.88553084730794, 77.60036163989888 12.885187545298459, 77.6001266199695 12.88486529240426, 77.59986053624272 12.884567192096963, 77.59956595168626 12.884296115163105, 77.59924570370336 12.884054672059609, 77.59890287679185 12.883845187780487, 77.59854077282591 12.883669679474322, 77.5981628792471 12.883529837029993, 77.5977728354713 12.883427006815326, 77.59737439783571 12.883362178726026, 77.59697140342296 12.883335976668445, 77.59656773311147 12.883348652567106, 77.59616727420735 12.883400083954822, 77.59577388301734 12.8834897751668, 77.59539134772334 12.88361686212796, 77.59502335191507 12.883780120685925, 77.59467343913182 12.88397797840912, 77.59434497875395 12.884208529736794, 77.59404113357196 12.884469554333391, 77.59376482934496 12.884758538471816, 77.59351872664071 12.885072699238872, 77.59330519522796 12.885409011329763, 77.59312629126723 12.885764236174744, 77.59298373751902 12.886134953116496, 77.59287890675958 12.886517592339658, 77.59281280856402 12.8869084692348))",2692,63297,Sri Veerabhadreshwara Residency,12.887828,77.599403,0.0,40.0,0.28
1,"POLYGON ((77.59281280856402 12.8869084692348, 77.5927860795837 12.88730381986744, 77.59279897741143 12.887699837210452, 77.59285137809378 12.888092707791847, 77.59294277731502 12.888478648405515, 77.59307229524107 12.888853942532151, 77.59323868497792 12.889214976119604, 77.593440344563 12.889558272379432, 77.59367533237544 12.889880525263665, 77.59394138581668 12.8901786313011, 77.59423594308278 12.890449719485078, 77.59455616781929 12.890691178926199, 77.59489897642173 12.890900684002691, 77.59526106771952 12.891076216766747, 77.59563895475793 12.891216086389552, 77.59602899837242 12.891318945458837, 77.596427442232 12.891383802970056, 77.59683044901486 12.891410033886128, 77.59723413736714 12.891397385173558, 77.59763461928955 12.891345978254812, 77.59802803759071 12.891256307854231, 77.5984106030468 12.891129237247306, 77.59877863090905 12.890965989957808, 77.59912857640633 12.89076813798431, 77.59945706890113 12.890537586666584, 77.59976094436868 12.890276556339844, 77.60003727588604 12.889987560951303, 77.60028340183669 12.889673383846619, 77.6004969515585 12.889337050958332, 77.60067586818738 12.888981801655486, 77.600818428476 12.888611057535236, 77.60092325939677 12.888228389457455, 77.6009893513683 12.88783748314044, 77.60101606797852 12.887442103649287, 77.60100315210997 12.887046059120182, 77.60095072840934 12.886653164069847, 77.600859302077 12.886267202644687, 77.60072975398883 12.885891892163906, 77.600563332198 12.88553084730794, 77.60036163989888 12.885187545298459, 77.6001266199695 12.88486529240426, 77.59986053624272 12.884567192096963, 77.59956595168626 12.884296115163105, 77.59924570370336 12.884054672059609, 77.59890287679185 12.883845187780487, 77.59854077282591 12.883669679474322, 77.5981628792471 12.883529837029993, 77.5977728354713 12.883427006815326, 77.59737439783571 12.883362178726026, 77.59697140342296 12.883335976668445, 77.59656773311147 12.883348652567106, 77.59616727420735 12.883400083954822, 77.59577388301734 12.8834897751668, 77.59539134772334 12.88361686212796, 77.59502335191507 12.883780120685925, 77.59467343913182 12.88397797840912, 77.59434497875395 12.884208529736794, 77.59404113357196 12.884469554333391, 77.59376482934496 12.884758538471816, 77.59351872664071 12.885072699238872, 77.59330519522796 12.885409011329763, 77.59312629126723 12.885764236174744, 77.59298373751902 12.886134953116496, 77.59287890675958 12.886517592339658, 77.59281280856402 12.8869084692348))",1538,143206,Basava Residency,12.888207,77.599472,0.0,40.0,0.29
1,"POLYGON ((77.59281280856402 12.8869084692348, 77.5927860795837 12.88730381986744, 77.59279897741143 12.887699837210452, 77.59285137809378 12.888092707791847, 77.59294277731502 12.888478648405515, 77.59307229524107 12.888853942532151, 77.59323868497792 12.889214976119604, 77.593440344563 12.889558272379432, 77.59367533237544 12.889880525263665, 77.59394138581668 12.8901786313011, 77.59423594308278 12.890449719485078, 77.59455616781929 12.890691178926199, 77.59489897642173 12.890900684002691, 77.59526106771952 12.891076216766747, 77.59563895475793 12.891216086389552, 77.59602899837242 12.891318945458837, 77.596427442232 12.891383802970056, 77.59683044901486 12.891410033886128, 77.59723413736714 12.891397385173558, 77.59763461928955 12.891345978254812, 77.59802803759071 12.891256307854231, 77.5984106030468 12.891129237247306, 77.59877863090905 12.890965989957808, 77.59912857640633 12.89076813798431, 77.59945706890113 12.890537586666584, 77.59976094436868 12.890276556339844, 77.60003727588604 12.889987560951303, 77.60028340183669 12.889673383846619, 77.6004969515585 12.889337050958332, 77.60067586818738 12.888981801655486, 77.600818428476 12.888611057535236, 77.60092325939677 12.888228389457455, 77.6009893513683 12.88783748314044, 77.60101606797852 12.887442103649287, 77.60100315210997 12.887046059120182, 77.60095072840934 12.886653164069847, 77.600859302077 12.886267202644687, 77.60072975398883 12.885891892163906, 77.600563332198 12.88553084730794, 77.60036163989888 12.885187545298459, 77.6001266199695 12.88486529240426, 77.59986053624272 12.884567192096963, 77.59956595168626 12.884296115163105, 77.59924570370336 12.884054672059609, 77.59890287679185 12.883845187780487, 77.59854077282591 12.883669679474322, 77.5981628792471 12.883529837029993, 77.5977728354713 12.883427006815326, 77.59737439783571 12.883362178726026, 77.59697140342296 12.883335976668445, 77.59656773311147 12.883348652567106, 77.59616727420735 12.883400083954822, 77.59577388301734 12.8834897751668, 77.59539134772334 12.88361686212796, 77.59502335191507 12.883780120685925, 77.59467343913182 12.88397797840912, 77.59434497875395 12.884208529736794, 77.59404113357196 12.884469554333391, 77.59376482934496 12.884758538471816, 77.59351872664071 12.885072699238872, 77.59330519522796 12.885409011329763, 77.59312629126723 12.885764236174744, 77.59298373751902 12.886134953116496, 77.59287890675958 12.886517592339658, 77.59281280856402 12.8869084692348))",2693,63294,Pankaj Residency,12.888291,77.599236,0.0,40.0,0.27
1,"POLYGON ((77.59281280856402 12.8869084692348, 77.5927860795837 12.88730381986744, 77.59279897741143 12.887699837210452, 77.59285137809378 12.888092707791847, 77.59294277731502 12.888478648405515, 77.59307229524107 12.888853942532151, 77.59323868497792 12.889214976119604, 77.593440344563 12.889558272379432, 77.59367533237544 12.889880525263665, 77.59394138581668 12.8901786313011, 77.59423594308278 12.890449719485078, 77.59455616781929 12.890691178926199, 77.59489897642173 12.890900684002691, 77.59526106771952 12.891076216766747, 77.59563895475793 12.891216086389552, 77.59602899837242 12.891318945458837, 77.596427442232 12.891383802970056, 77.59683044901486 12.891410033886128, 77.59723413736714 12.891397385173558, 77.59763461928955 12.891345978254812, 77.59802803759071 12.891256307854231, 77.5984106030468 12.891129237247306, 77.59877863090905 12.890965989957808, 77.59912857640633 12.89076813798431, 77.59945706890113 12.890537586666584, 77.59976094436868 12.890276556339844, 77.60003727588604 12.889987560951303, 77.60028340183669 12.889673383846619, 77.6004969515585 12.889337050958332, 77.60067586818738 12.888981801655486, 77.600818428476 12.888611057535236, 77.60092325939677 12.888228389457455, 77.6009893513683 12.88783748314044, 77.60101606797852 12.887442103649287, 77.60100315210997 12.887046059120182, 77.60095072840934 12.886653164069847, 77.600859302077 12.886267202644687, 77.60072975398883 12.885891892163906, 77.600563332198 12.88553084730794, 77.60036163989888 12.885187545298459, 77.6001266199695 12.88486529240426, 77.59986053624272 12.884567192096963, 77.59956595168626 12.884296115163105, 77.59924570370336 12.884054672059609, 77.59890287679185 12.883845187780487, 77.59854077282591 12.883669679474322, 77.5981628792471 12.883529837029993, 77.5977728354713 12.883427006815326, 77.59737439783571 12.883362178726026, 77.59697140342296 12.883335976668445, 77.59656773311147 12.883348652567106, 77.59616727420735 12.883400083954822, 77.59577388301734 12.8834897751668, 77.59539134772334 12.88361686212796, 77.59502335191507 12.883780120685925, 77.59467343913182 12.88397797840912, 77.59434497875395 12.884208529736794, 77.59404113357196 12.884469554333391, 77.59376482934496 12.884758538471816, 77.59351872664071 12.885072699238872, 77.59330519522796 12.885409011329763, 77.59312629126723 12.885764236174744, 77.59298373751902 12.886134953116496, 77.59287890675958 12.886517592339658, 77.59281280856402 12.8869084692348))",2476,dmkwrk,Damden Zephyr,12.8885155,77.5973973,0.0,40.0,0.14
1,"POLYGON ((77.59281280856402 12.8869084692348, 77.5927860795837 12.88730381986744, 77.59279897741143 12.887699837210452, 77.59285137809378 12.888092707791847, 77.59294277731502 12.888478648405515, 77.59307229524107 12.888853942532151, 77.59323868497792 12.889214976119604, 77.593440344563 12.889558272379432, 77.59367533237544 12.889880525263665, 77.59394138581668 12.8901786313011, 77.59423594308278 12.890449719485078, 77.59455616781929 12.890691178926199, 77.59489897642173 12.890900684002691, 77.59526106771952 12.891076216766747, 77.59563895475793 12.891216086389552, 77.59602899837242 12.891318945458837, 77.596427442232 12.891383802970056, 77.59683044901486 12.891410033886128, 77.59723413736714 12.891397385173558, 77.59763461928955 12.891345978254812, 77.59802803759071 12.891256307854231, 77.5984106030468 12.891129237247306, 77.59877863090905 12.890965989957808, 77.59912857640633 12.89076813798431, 77.59945706890113 12.890537586666584, 77.59976094436868 12.890276556339844, 77.60003727588604 12.889987560951303, 77.60028340183669 12.889673383846619, 77.6004969515585 12.889337050958332, 77.60067586818738 12.888981801655486, 77.600818428476 12.888611057535236, 77.60092325939677 12.888228389457455, 77.6009893513683 12.88783748314044, 77.60101606797852 12.887442103649287, 77.60100315210997 12.887046059120182, 77.60095072840934 12.886653164069847, 77.600859302077 12.886267202644687, 77.60072975398883 12.885891892163906, 77.600563332198 12.88553084730794, 77.60036163989888 12.885187545298459, 77.6001266199695 12.88486529240426, 77.59986053624272 12.884567192096963, 77.59956595168626 12.884296115163105, 77.59924570370336 12.884054672059609, 77.59890287679185 12.883845187780487, 77.59854077282591 12.883669679474322, 77.5981628792471 12.883529837029993, 77.5977728354713 12.883427006815326, 77.59737439783571 12.883362178726026, 77.59697140342296 12.883335976668445, 77.59656773311147 12.883348652567106, 77.59616727420735 12.883400083954822, 77.59577388301734 12.8834897751668, 77.59539134772334 12.88361686212796, 77.59502335191507 12.883780120685925, 77.59467343913182 12.88397797840912, 77.59434497875395 12.884208529736794, 77.59404113357196 12.884469554333391, 77.59376482934496 12.884758538471816, 77.59351872664071 12.885072699238872, 77.59330519522796 12.885409011329763, 77.59312629126723 12.885764236174744, 77.59298373751902 12.886134953116496, 77.59287890675958 12.886517592339658, 77.59281280856402 12.8869084692348))",2531,204496, Stone Creek,12.88918,77.59771,0.0,40.0,0.22
1,"POLYGON ((77.59281280856402 12.8869084692348, 77.5927860795837 12.88730381986744, 77.59279897741143 12.887699837210452, 77.59285137809378 12.888092707791847, 77.59294277731502 12.888478648405515, 77.59307229524107 12.888853942532151, 77.59323868497792 12.889214976119604, 77.593440344563 12.889558272379432, 77.59367533237544 12.889880525263665, 77.59394138581668 12.8901786313011, 77.59423594308278 12.890449719485078, 77.59455616781929 12.890691178926199, 77.59489897642173 12.890900684002691, 77.59526106771952 12.891076216766747, 77.59563895475793 12.891216086389552, 77.59602899837242 12.891318945458837, 77.596427442232 12.891383802970056, 77.59683044901486 12.891410033886128, 77.59723413736714 12.891397385173558, 77.59763461928955 12.891345978254812, 77.59802803759071 12.891256307854231, 77.5984106030468 12.891129237247306, 77.59877863090905 12.890965989957808, 77.59912857640633 12.89076813798431, 77.59945706890113 12.890537586666584, 77.59976094436868 12.890276556339844, 77.60003727588604 12.889987560951303, 77.60028340183669 12.889673383846619, 77.6004969515585 12.889337050958332, 77.60067586818738 12.888981801655486, 77.600818428476 12.888611057535236, 77.60092325939677 12.888228389457455, 77.6009893513683 12.88783748314044, 77.60101606797852 12.887442103649287, 77.60100315210997 12.887046059120182, 77.60095072840934 12.886653164069847, 77.600859302077 12.886267202644687, 77.60072975398883 12.885891892163906, 77.600563332198 12.88553084730794, 77.60036163989888 12.885187545298459, 77.6001266199695 12.88486529240426, 77.59986053624272 12.884567192096963, 77.59956595168626 12.884296115163105, 77.59924570370336 12.884054672059609, 77.59890287679185 12.883845187780487, 77.59854077282591 12.883669679474322, 77.5981628792471 12.883529837029993, 77.5977728354713 12.883427006815326, 77.59737439783571 12.883362178726026, 77.59697140342296 12.883335976668445, 77.59656773311147 12.883348652567106, 77.59616727420735 12.883400083954822, 77.59577388301734 12.8834897751668, 77.59539134772334 12.88361686212796, 77.59502335191507 12.883780120685925, 77.59467343913182 12.88397797840912, 77.59434497875395 12.884208529736794, 77.59404113357196 12.884469554333391, 77.59376482934496 12.884758538471816, 77.59351872664071 12.885072699238872, 77.59330519522796 12.885409011329763, 77.59312629126723 12.885764236174744, 77.59298373751902 12.886134953116496, 77.59287890675958 12.886517592339658, 77.59281280856402 12.8869084692348))",2417,38728,Mantri Woodlands,12.888485,77.596808,0.0,40.0,0.12
